Section,Group,Item,Description,Price,Note
Breakfast,Sandwiches,The Get Hooked,"2 eggs, American cheese, choice of one (bacon, sausage, ham) on a hard roll",$5.00,
Breakfast,Sandwiches,It's A Wrap,"2 eggs, cheese, choice of one meat in a wrap",$6.50,
Breakfast,Sandwiches,The Hungry Bass,"3 eggs, three meats (sausage, bacon, ham) and cheese on a hero",$8.00,
Breakfast,Sandwiches,Pike Bait,"Bacon, sausage, ham and cheese on a hard roll",$6.50,
Breakfast,Sandwiches,The Minnow,"1 egg and cheese cooked your way on your choice of bread (hard roll, white, English muffin)",$5.00,
Breakfast,Sandwiches,,,,Add extra meat to any sandwich: $1.00.
Breakfast,Sandwiches,,,,Add extra meat or veggies to It's A Wrap: $1.00.
Breakfast,The Minnow Bucket,Tackle Box,"Two eggs cooked your way, choice of one meat (sausage, bacon, ham) on a bed of home fries",$7.50,
Breakfast,The Minnow Bucket,Omelet,"3 eggs, cheese, choice of meat (sausage, bacon or ham)",$6.50,
Breakfast,The Minnow Bucket,,,,"Tackle Box add-ons, anything you wish: $1.00."
Breakfast,The Minnow Bucket,,,,"Omelet extra stuffings (peppers, onions, tomato, mushrooms, salsa...): $0.75 each."
Breakfast,The Minnow Bucket,,,,Add additional meat to all items: $1.00. Want it on a bagel: $1.25 upcharge.
Breakfast,The Minnow Bucket,,,,Don't see what you want? Just ask.
Breakfast,The By Catch,Side of home fries,,$3.00,
Breakfast,The By Catch,Bagel with butter or cream cheese,,$4.00,
Breakfast,The By Catch,English muffin with butter,,$2.00,
Breakfast,The By Catch,Hash brown,When available,$1.75 each,
Breakfast,The By Catch,Corned beef hash,When available,$4.00,
Breakfast,The By Catch,Side of bacon,,$3.75,
Breakfast,The By Catch,Jumbo muffin,,$3.00,
Breakfast,The By Catch,Coffee,,$2.00,
Lunch,,Buffalo Chicken Wrap,"Lettuce, tomato, onion",$8.25,
Lunch,,Chicken Finger Wrap or Sub,"Lettuce, tomato, onion, with honey mustard",$8.25,
Lunch,,Reuben,"Corned beef, sauerkraut, Swiss and Russian on marble rye",$8.50,
Lunch,,Ham and Swiss Melt,On choice of bread,$7.50,
Lunch,,Beef and Cheddar,Roast beef with cheddar cheese sauce on a roll,$8.50,
Lunch,,Triple Grilled Cheese,"Provolone, Swiss and American on white Tuscan bread; add bacon $1",$6.50,
Lunch,,Chicken Salad,"On your choice of bread or wrap with lettuce, tomato (has red onion in it)",$8.00,
Lunch,,Chicken Caesar Salad Wrap,,$8.25,
Lunch,,BLT,On your choice of toast; add cheese $0.75,$7.00,
Lunch,,Gianelli Sausage,With peppers and onions on a hero,$8.50,
Lunch,,Hoffman Hot Dog,,$3.75,
Lunch,,Angus Cheeseburger,,$5.75,
Lunch,,Double Cheeseburger,,$7.00,
Lunch,,Bacon Cheeseburger,,$6.75,
Lunch,,Cheeseburger Deluxe,"Lettuce, tomato, onion on a kaiser roll",$8.25,
Lunch,For the Cold Day,Chili and Corn Bread,"With sour cream, chives and cheddar cheese",Sm $5.00 / Lg $6.00,
Lunch,For the Cold Day,Soup of the Day,,Sm $4.75 / Lg $5.50,
Lunch,Deli Salads,"Mac, potato, Italian pasta",,1/4 lb $2.00 · 1/2 lb $4.00,
Lunch,Deli Salads,,,,Keep an eye out for special salads of the week.
Coffee,,Coffee,"Plain, hot",$2.00,
Coffee,,Flavored coffee,"Iced or hot, any flavor on the board",$4.50,
Coffee,,,,,"Additional toppings, $1.00 each: whipped cream; caramel, chocolate or raspberry drizzle; sprinkles."
